transaction_id,user_id,transaction_datetime,amount,merchant_category,transaction_channel,device_type,location,is_fraud
500000,1,01-01-2024 00:00,1102.57,Online Store,UPI,Android,Bangalore,0
500001,1,01-01-2024 06:00,1321.44,Travel,Mobile Banking,iPhone,Delhi,0
500002,1,01-01-2024 12:00,1529.48,Pharmacy,Card Swipe,Android,Hyderabad,0
500003,1,01-01-2024 18:00,1324.79,Utilities,Card Swipe,Web Browser,Mumbai,0
500004,1,02-01-2024 00:00,1226.25,Utilities,Mobile Banking,Android,Chennai,0
500005,1,02-01-2024 06:00,1298.58,Online Store,POS Machine,Web Browser,Pune,0
500006,1,02-01-2024 12:00,1487.83,Bill Payment,Card Swipe,Web Browser,Chennai,0
500007,1,02-01-2024 18:00,1316.74,Pharmacy,UPI,iPhone,Chennai,0
500008,1,03-01-2024 00:00,1509.8,Shopping,Card Swipe,iPhone,Chennai,0
500009,1,03-01-2024 06:00,1132.44,Grocery,POS Machine,iPhone,Chennai,0
500010,1,03-01-2024 12:00,1209.44,Restaurants,Net Banking,Android,Mumbai,0
500011,1,03-01-2024 18:00,1272.94,Online Store,Mobile Banking,Android,Pune,0
500012,1,04-01-2024 00:00,1132.68,Travel,Mobile Banking,iPhone,Bangalore,0
500013,1,04-01-2024 06:00,1875.37,Restaurants,POS Machine,Android,Delhi,0
500014,1,04-01-2024 12:00,1169.99,Utilities,Card Swipe,iPhone,Bangalore,0
500015,1,04-01-2024 18:00,1521.14,Grocery,Net Banking,iPhone,Delhi,0
500016,1,05-01-2024 00:00,1245.11,Shopping,Card Swipe,Android,Chennai,0
500017,1,05-01-2024 06:00,1271.69,Restaurants,UPI,Android,Mumbai,0
500018,1,05-01-2024 12:00,1414.01,Bill Payment,Card Swipe,Android,Delhi,0
500019,1,05-01-2024 18:00,1106.74,Online Store,UPI,Android,Hyderabad,0
500020,1,06-01-2024 00:00,1245.69,Grocery,Mobile Banking,Web Browser,Hyderabad,0
500021,1,06-01-2024 06:00,1335.83,Travel,Mobile Banking,Web Browser,Bangalore,0
500022,1,06-01-2024 12:00,1213.68,Utilities,Card Swipe,Web Browser,Hyderabad,0
500023,1,06-01-2024 18:00,1217.79,Travel,UPI,Android,Chennai,0
500024,1,07-01-2024 00:00,1551.15,Utilities,Mobile Banking,Web Browser,Mumbai,0
500025,1,07-01-2024 06:00,1536.88,Travel,POS Machine,Android,Pune,0
500026,1,07-01-2024 12:00,1284.27,Online Store,Card Swipe,iPhone,Hyderabad,0
500027,1,07-01-2024 18:00,1346.71,Restaurants,POS Machine,Android,Chennai,0
500028,1,08-01-2024 00:00,1577.39,Travel,Mobile Banking,Web Browser,Delhi,0
500029,1,08-01-2024 06:00,1112.33,Bill Payment,Mobile Banking,iPhone,Pune,0
500030,1,08-01-2024 12:00,1420.42,Restaurants,Card Swipe,iPhone,Bangalore,0
500031,1,08-01-2024 18:00,1706.17,Bill Payment,UPI,Android,Hyderabad,0
500032,1,09-01-2024 00:00,1704.5,Utilities,Card Swipe,Android,Pune,0
500033,1,09-01-2024 06:00,1022.69,Online Store,Net Banking,iPhone,Bangalore,0
500034,1,09-01-2024 12:00,1228.25,Utilities,UPI,Android,Hyderabad,0
500035,1,09-01-2024 18:00,1390.85,Pharmacy,Net Banking,Android,Pune,0
500036,1,10-01-2024 00:00,1130.6,Pharmacy,UPI,Android,Delhi,0
500037,1,10-01-2024 06:00,1244.72,Pharmacy,POS Machine,Android,Hyderabad,0
500038,1,10-01-2024 12:00,1337.43,Utilities,Card Swipe,Android,Bangalore,0
500039,1,10-01-2024 18:00,1606.08,Bill Payment,Net Banking,Web Browser,Mumbai,0
500040,1,11-01-2024 00:00,1353.47,Bill Payment,Mobile Banking,iPhone,Delhi,0
500041,1,11-01-2024 06:00,1399.28,Bill Payment,Card Swipe,Web Browser,Mumbai,0
500042,1,11-01-2024 12:00,1450.87,Restaurants,POS Machine,iPhone,Hyderabad,0
500043,1,11-01-2024 18:00,1456.3,Bill Payment,Mobile Banking,Web Browser,Hyderabad,0
500044,1,12-01-2024 00:00,1366.31,Online Store,POS Machine,Android,Hyderabad,0
500045,1,12-01-2024 06:00,1152.39,Shopping,UPI,iPhone,Hyderabad,0
500046,1,12-01-2024 12:00,1499.28,Grocery,Net Banking,Android,Bangalore,0
500047,1,12-01-2024 18:00,1436.74,Online Store,POS Machine,iPhone,Mumbai,0
500048,1,13-01-2024 00:00,1169.91,Restaurants,Mobile Banking,Android,Hyderabad,0
500049,1,13-01-2024 06:00,1242.27,Restaurants,UPI,Web Browser,Mumbai,0
500050,1,13-01-2024 12:00,1516.36,Travel,UPI,Android,Chennai,0
500051,1,13-01-2024 18:00,1467.12,Utilities,UPI,iPhone,Hyderabad,0
500052,1,14-01-2024 00:00,1235.64,Pharmacy,Net Banking,Android,Pune,0
500053,1,14-01-2024 06:00,1314.27,Utilities,Mobile Banking,Android,Bangalore,0
500054,1,14-01-2024 12:00,1336.35,Utilities,UPI,Web Browser,Pune,0
500055,1,14-01-2024 18:00,1469.13,Travel,POS Machine,Web Browser,Delhi,0
500056,1,15-01-2024 00:00,1579.47,Restaurants,Mobile Banking,Android,Bangalore,0
500057,1,15-01-2024 06:00,1372.86,Utilities,UPI,Web Browser,Hyderabad,0
500058,1,15-01-2024 12:00,1565.55,Utilities,Mobile Banking,Web Browser,Mumbai,0
500059,1,15-01-2024 18:00,1513.89,Restaurants,Mobile Banking,Android,Delhi,0
500060,1,16-01-2024 00:00,1397.31,Bill Payment,Card Swipe,Android,Bangalore,0
500061,1,16-01-2024 06:00,1109.37,Restaurants,Mobile Banking,Web Browser,Bangalore,0
500062,1,16-01-2024 12:00,1181.96,Bill Payment,POS Machine,Android,Delhi,0
500063,1,16-01-2024 18:00,1490.82,Bill Payment,POS Machine,Android,Hyderabad,0
500064,1,17-01-2024 00:00,1062.74,Travel,Mobile Banking,iPhone,Mumbai,0
500065,1,17-01-2024 06:00,1382.18,Bill Payment,Net Banking,iPhone,Delhi,0
500066,1,17-01-2024 12:00,1536.09,Shopping,Mobile Banking,Android,Chennai,0
500067,1,17-01-2024 18:00,1388.01,Pharmacy,Mobile Banking,Android,Chennai,0
500068,1,18-01-2024 00:00,1256.4,Utilities,UPI,Web Browser,Mumbai,0
500069,1,18-01-2024 06:00,1213.58,Shopping,POS Machine,iPhone,Pune,0
500070,1,18-01-2024 12:00,1503.9,Restaurants,Net Banking,Android,Pune,0
500071,1,18-01-2024 18:00,1443.76,Travel,Net Banking,iPhone,Delhi,0
500072,1,19-01-2024 00:00,1311.55,Pharmacy,Net Banking,Android,Hyderabad,0
500073,1,19-01-2024 06:00,1547.4,Bill Payment,POS Machine,iPhone,Delhi,0
500074,1,19-01-2024 12:00,1510.51,Utilities,POS Machine,Android,Mumbai,0
500075,1,19-01-2024 18:00,1673.7,Restaurants,UPI,Web Browser,Hyderabad,0
500076,1,20-01-2024 00:00,1460.38,Utilities,UPI,Web Browser,Pune,0
500077,1,20-01-2024 06:00,1332.68,Grocery,UPI,Android,Chennai,0
500078,1,20-01-2024 12:00,1336.44,Shopping,Card Swipe,Android,Hyderabad,0
500079,1,20-01-2024 18:00,1023.62,Shopping,Mobile Banking,iPhone,Hyderabad,0
500080,1,21-01-2024 00:00,1387.71,Pharmacy,POS Machine,Android,Pune,0
500081,1,21-01-2024 06:00,1358.66,Pharmacy,Net Banking,Android,Delhi,0
500082,1,21-01-2024 12:00,1129.17,Restaurants,UPI,Android,Chennai,0
500083,1,21-01-2024 18:00,1356.99,Restaurants,UPI,Android,Chennai,0
500084,1,22-01-2024 00:00,1595.92,Travel,Net Banking,Web Browser,Mumbai,0
500085,1,22-01-2024 06:00,1233.15,Pharmacy,POS Machine,iPhone,Chennai,0
500086,1,22-01-2024 12:00,1193.8,Utilities,POS Machine,Android,Delhi,0
500087,1,22-01-2024 18:00,1554.33,Utilities,POS Machine,iPhone,Delhi,0
500088,1,23-01-2024 00:00,1472.14,Utilities,Card Swipe,Android,Mumbai,0
500089,1,23-01-2024 06:00,1895.88,Utilities,Net Banking,iPhone,Mumbai,0
500090,1,23-01-2024 12:00,1131.18,Grocery,UPI,Android,Pune,0
500091,1,23-01-2024 18:00,1487.18,Shopping,POS Machine,Android,Hyderabad,0
500092,1,24-01-2024 00:00,1416.56,Travel,Net Banking,Android,Chennai,0
500093,1,24-01-2024 06:00,1371.75,Bill Payment,Net Banking,Android,Mumbai,0
500094,1,24-01-2024 12:00,1520.38,Bill Payment,Card Swipe,iPhone,Delhi,0
500095,1,24-01-2024 18:00,1356.21,Pharmacy,Mobile Banking,Android,Mumbai,0
500096,1,25-01-2024 00:00,1023.31,Travel,UPI,iPhone,Mumbai,0
500097,1,25-01-2024 06:00,1213.45,Pharmacy,Mobile Banking,iPhone,Mumbai,0
500098,1,25-01-2024 12:00,1599.64,Travel,Net Banking,Web Browser,Mumbai,0
